variable,value,base_cycle_value,mean_increment_cycles_2_to_10,delta_n,policy
STATEV1_end,0.192419691477,0.0702667832375,0.00718546519056,17,active_first_order_cycle_space
STATEV2_end,-82.728111267,-85.9424591064,0.189079284668,17,active_first_order_cycle_space
STATEV3_end,41.3640556335,42.9712295532,-0.094539642334,17,active_first_order_cycle_space
STATEV4_end,41.3640556335,42.9712295532,-0.094539642334,17,active_first_order_cycle_space
STATEV5_end,5.04646242713e-15,1.89103408034e-15,1.85613432164e-16,17,near_zero_predicted_flagged
STATEV6_end,2.00989756225e-15,1.57150387987e-15,2.57878636696e-17,17,near_zero_predicted_flagged
STATEV7_end,-1.43219414708e-15,-1.78002985219e-15,2.046092383e-17,17,near_zero_predicted_flagged
STATEV8_end,-0.001821456089,-0.00179540505633,-1.53241368632e-06,17,active_first_order_cycle_space
STATEV9_end,0.000910728044498,0.000897702528164,7.66206843158e-07,17,active_first_order_cycle_space
STATEV10_end,0.000910728044498,0.000897702528164,7.66206843158e-07,17,active_first_order_cycle_space
STATEV11_end,-7.94980945696e-19,-2.50127276099e-19,-3.20502158586e-20,17,near_zero_predicted_flagged
STATEV12_end,-4.74041742769e-19,-1.54258927686e-19,-1.88107538284e-20,17,near_zero_predicted_flagged
STATEV13_end,-6.76841855395e-20,-4.94534226677e-20,-1.07239781599e-21,17,near_zero_predicted_flagged
STATEV14_end,1.91497019411,0.701434910297,0.0717185309364,17,recomputed_from_predicted_STATEV1
STATEV15_end,0,0,0,17,reset_to_zero_for_injection
